t,gear_choice,motor_pwm,accel_ramp_s,pid_p,pid_d,speed_mps,penalized_fitness,overcurrent,overtemp,timeout
39,3,0.9831249362622182,1.0554548693105874,2.28941781719648,0.23145760849950248,2.0425135928630973,2.0425135928630973,False,False,False
t,gear_choice,motor_pwm,accel_ramp_s,pid_p,pid_d,speed_mps,penalized_fitness,overcurrent,overtemp,timeout
0,1,0.6100694468006588,0.9655604334255194,2.6682201742093654,0.3887363693339117,1.327630483045957,1.327630483045957,False,False,False
1,1,0.5601519463781479,0.9573072226322901,2.825045175847267,0.5384209862660225,1.1391464814465195,1.1391464814465195,False,False,False
2,1,0.7572216312777498,0.8438481760794504,2.4769816682420536,0.5859598545604837,1.5801048575867005,1.5801048575867005,False,False,False
3,1,0.6836760262203552,1.040947357137331,2.476855355772101,0.4479455687324154,1.4665617231772956,1.4665617231772956,False,False,False
4,1,0.817780795795833,1.0893089167231975,2.373702330985147,0.40579511308185895,1.811245302733168,1.811245302733168,False,False,False
5,1,0.7402413778075773,1.049363500413737,2.193935143889986,0.37946038367815715,1.6302431076413304,1.6302431076413304,False,False,False
6,1,0.5681714357077682,1.1738949166475763,2.479293079043947,0.6955407260476036,1.1959969971775677,1.1959969971775677,False,False,False
7,1,0.7275662800161089,0.8250784402745421,2.369779003912085,0.5346894693437162,1.528181397145032,1.528181397145032,False,False,False
8,1,0.6033953767805069,1.0327926061427606,2.3769730942587795,0.3808725226737838,1.323700221530082,1.323700221530082,False,False,False
9,1,0.7486156379405151,0.8901788595738178,2.530000597462532,0.45605620556753085,1.578207228898514,1.578207228898514,False,False,False
10,1,0.6321817863094358,1.0928616370898345,2.4130009432754096,0.6541356729788618,1.3687094567111118,1.3687094567111118,False,False,False
11,1,0.3,0.9326386449780965,2.4908993023019637,0.46518139986465296,0.663587654655408,0.663587654655408,False,False,False
12,1,0.7799477438728417,0.913019728247138,2.4662045852293555,0.29508614747370365,1.7217625176838505,1.7217625176838505,False,False,False
13,1,0.6034894356443352,0.8719521260612949,2.3786904476673607,0.6846182553046404,1.2364021809074806,1.2364021809074806,False,False,False
14,1,0.8793773928316588,1.254392917030214,2.521646240422191,0.5629381539602221,1.8204621397760063,1.8204621397760063,False,False,False
15,1,0.9317203484094049,1.0256964991512727,2.392411157451569,0.573450899298025,1.9200470469747444,1.9200470469747444,False,False,False
16,1,0.7415384453856756,0.9446387120854479,2.365634402424655,0.6826772277761491,1.5653675920760441,1.5653675920760441,False,False,False
17,1,0.8558651569005268,1.2342654543077447,2.5589662072581945,0.46644565503693447,1.763772285443277,1.763772285443277,False,False,False
18,1,0.7559182595000052,1.1036829848271221,2.280670395243283,0.43138908153579747,1.7476748887363276,1.7476748887363276,False,False,False
19,1,0.7206961095057549,0.9078425993110919,2.4531063761379,0.5374954551494124,1.5405973179184838,1.5405973179184838,False,False,False
20,1,0.6403097965302615,1.15570388197624,2.4568968280495658,0.4096845071227327,1.3899138758852805,1.3899138758852805,False,False,False
21,1,0.5322677463564673,0.9467575878170211,2.2945723005780363,0.45231365339369917,1.1183290015583525,1.1183290015583525,False,False,False
22,1,0.8070372309483801,0.747723178968845,2.546259485802323,0.34448932167672264,1.7423161633044404,1.7423161633044404,False,False,False
23,1,0.7614328866385538,0.87950411644426,2.115057522715567,0.48273309225803157,1.7540808733371285,1.7540808733371285,False,False,False
24,1,1.0,0.9479085103902194,2.3384913439612562,0.5657499566327878,2.0378634816529155,2.0378634816529155,False,False,False
25,1,0.7478417093974997,0.9573695014473458,2.3069000242015627,0.5869013187090744,1.6026303151646004,1.6026303151646004,False,False,False
26,1,0.7883758802687235,0.9581766225594632,2.447023054897387,0.2102205486589082,1.764274601071063,1.764274601071063,False,False,False
27,1,0.8244668943303345,1.1656034952751702,2.4937878681956556,0.5388432816647765,1.6836866718510115,1.6836866718510115,False,False,False
28,1,0.8691611293449795,1.216933406279076,2.6554602728483183,0.68774023433651,1.6697626282010156,1.6697626282010156,False,False,False
29,1,1.0,1.0100933498430689,2.448467880550734,0.421463220226632,2.0867650490759457,2.0867650490759457,False,False,False
30,1,0.7970896121489535,1.2649049599453681,2.437984084994268,0.346147269642529,1.7588374365873318,1.7588374365873318,False,False,False
31,1,1.0,1.5573438767094472,2.823216665136355,0.5414841517149528,1.9268253185510362,1.9268253185510362,False,False,False
32,1,0.6883495181852644,0.8209000933910171,2.4628753840677313,0.593355836996631,1.4059808822194002,1.4059808822194002,False,False,False
33,1,0.7531717454489772,1.1927081962157047,2.5589290674291805,0.4867233370177575,1.6183547201261592,1.6183547201261592,False,False,False
34,1,0.8597957348506554,1.0416907124967056,2.7332477079127218,0.7202328183464809,1.7599459235256685,1.7599459235256685,False,False,False
35,1,0.8710066375759247,1.0308198670941762,2.5034286559457013,0.7561764183083164,1.7739357244589218,1.7739357244589218,False,False,False
36,1,1.0,1.1101919160902356,2.2485701808266305,0.357828537405953,2.110528239354374,2.110528239354374,False,False,False
37,1,1.0,1.1751329921146687,2.423420785884255,0.5177090928041285,1.9869151571799333,1.9869151571799333,False,False,False
38,1,0.766448520980391,1.2221764912622395,2.6352695717984176,0.4311050716729223,1.6080833777884977,1.6080833777884977,False,False,False
39,1,1.0,1.1448987763693894,2.4655381363373836,0.6688877229556591,1.9452806937832117,1.9452806937832117,False,False,False
t,gear_choice,motor_pwm,accel_ramp_s,pid_p,pid_d,speed_mps,penalized_fitness,overcurrent,overtemp,timeout
0,2,0.5685088164138122,1.1426496823116965,2.650922648194693,0.3935155482804476,1.2427245173517476,1.2427245173517476,False,False,False
1,2,0.675172548537787,0.9602538784517585,2.498024058647555,0.22668538066881772,1.546141671876332,1.546141671876332,False,False,False
2,2,0.4736076482459618,0.989268197412933,2.361142728477683,0.6250657507134146,1.0168484953985386,1.0168484953985386,False,False,False
3,2,0.5885658731835292,1.1278539593483066,2.506581343272189,0.5463892053153043,1.3144671318423746,1.3144671318423746,False,False,False
4,2,0.5064846531183665,0.9758203685421464,2.6647888369947514,0.47216023728200107,1.137177858754299,1.137177858754299,False,False,False
5,2,0.662320470858811,0.9436438753764481,2.3805185725474205,0.5055014340802656,1.5907267008759234,1.5907267008759234,False,False,False
6,2,0.4030282670440911,0.9727445796903039,2.4938940979144095,0.5957916601353915,0.8651512553553505,0.8651512553553505,False,False,False
7,2,0.8141133230868479,0.965922170957396,2.5263349097331464,0.4148627839053396,1.8647766406499138,1.8647766406499138,False,False,False
8,2,0.7040464146553975,0.7821795125199152,2.6517914373998916,0.4594150228158309,1.4975922184780655,1.4975922184780655,False,False,False
9,2,0.8043206524674105,1.328697189317054,2.495204711987753,0.5528043280035451,1.774448649819117,1.774448649819117,False,False,False
10,2,0.7203987383242414,1.1576055206656843,2.7699137120422987,0.525152309907732,1.5640817928770712,1.5640817928770712,False,False,False
11,2,0.7807133090449533,1.0318544759789878,2.210761791512836,0.5132072138548698,1.8122012832488021,1.8122012832488021,False,False,False
12,2,0.982018764496593,1.3514458299167964,2.614765095607961,0.12769087458863626,2.1607144946282673,2.1607144946282673,False,False,False
13,2,0.5552605464181555,1.0735027893959295,2.3579880977715346,0.5254921606179316,1.2613661109707277,1.2613661109707277,False,False,False
14,2,0.6530691086476623,1.0125680223558184,2.3900435101804565,0.6541279014983501,1.428099647955763,1.428099647955763,False,False,False
15,2,0.7270711644734398,0.9234829763711772,2.2922265019216717,0.4218555531272169,1.7029132404541487,1.7029132404541487,False,False,False
16,2,0.39827615554800133,1.0076181560298112,2.323968501596227,0.6481385196657115,0.9524247563686266,0.9524247563686266,False,False,False
17,2,0.6058142882136185,1.263080955530256,2.4603449030793074,0.4491422396305504,1.3777482088920405,1.3777482088920405,False,False,False
18,2,0.7359239611774886,0.9048908477750168,1.849064667557742,0.1332772636057084,1.7996825190322832,1.7996825190322832,False,False,False
19,2,0.9027222964792869,1.0502385786001507,2.6138949776964577,0.6965729362607028,1.8931821334884227,1.8931821334884227,False,False,False
20,2,0.9748919655445006,1.1985419531969155,2.409216076348626,0.5062721615580802,2.1002057741104303,2.1002057741104303,False,False,False
21,2,0.8742765674684375,0.8525192839848927,2.2711819227749057,0.7239814126253954,1.9971092790275944,1.9971092790275944,False,False,False
22,2,0.45826644622024204,1.221391637014107,2.463580857555906,0.6107430175580799,1.0540996378247065,1.0540996378247065,False,False,False
23,2,0.9955723472079213,1.1515383955942378,2.533903159958318,0.5445552399955456,2.092868348325679,2.092868348325679,False,False,False
24,2,1.0,1.149660064891357,2.532812536754294,0.3260452628049595,2.173552626086231,2.173552626086231,False,False,False
25,2,1.0,1.071572395131788,2.2747254319076284,0.3359346846161875,2.2710012443838443,2.2710012443838443,False,False,False
26,2,1.0,1.224966202658841,2.6627894236728635,0.5342002861070949,2.0118604525993877,2.0118604525993877,False,False,False
27,2,0.8860652181924937,1.356338590158723,2.3393178381670556,0.7004694273201555,1.9708325827737734,1.9708325827737734,False,False,False
28,2,0.8452952970694891,0.8798062963965128,2.610798649431065,0.5188601312105742,1.8449029049236418,1.8449029049236418,False,False,False
29,2,1.0,0.9350947170877286,2.6535016328352,0.46794262991635427,2.111226657537971,2.111226657537971,False,False,False
30,2,1.0,1.055589876688095,2.5958372950276303,0.37005476228157663,2.124306979220771,2.124306979220771,False,False,False
31,2,1.0,1.2937300835234968,2.131465906367924,0.48416616049682926,2.2182343479415305,2.2182343479415305,False,False,False
32,2,0.9230577852510488,1.3193657122498599,2.521987641137203,0.4509259153051119,2.001866450501973,2.001866450501973,False,False,False
33,2,0.8287631299428867,1.325281723395905,2.1976858052836246,0.46177653820166614,1.9494708613633303,1.9494708613633303,False,False,False
34,2,1.0,1.1880602129666566,2.466544066573388,0.5679208238541285,2.117476256221573,2.117476256221573,False,False,False
35,2,1.0,0.9832200746228174,2.362381226487666,0.5743595941642885,2.206067152624633,2.206067152624633,False,False,False
36,2,1.0,1.3313368048806002,2.3726311282234214,0.48077611568624756,2.1576972079508234,2.1576972079508234,False,False,False
37,2,1.0,1.019463647497913,2.4063216448169236,0.7785327669069124,2.122629868181154,2.122629868181154,False,False,False
38,2,0.7895761270951451,1.0472204502252995,2.491627162692205,0.44916628065962516,1.7427482240226244,1.7427482240226244,False,False,False
39,2,0.9403288056792835,1.1672289619401472,2.3905055818309036,0.5801685603268412,2.0291614022949114,2.0291614022949114,False,False,False
t,gear_choice,motor_pwm,accel_ramp_s,pid_p,pid_d,speed_mps,penalized_fitness,overcurrent,overtemp,timeout
0,3,0.6320578833658522,0.9713802112172409,2.57354383898317,0.43213608100081263,1.2873109391032294,1.2873109391032294,False,False,False
1,3,0.5445050418281713,0.8454224395734928,2.3159656849740293,0.4054357181727719,1.1091022971066744,1.1091022971066744,False,False,False
2,3,0.6860567187697545,1.001685519643417,2.3746406295890843,0.2759812207090977,1.4051009391150464,1.4051009391150464,False,False,False
3,3,0.6461055767022968,0.6558327868293746,2.347631121230407,0.6535488860754608,1.3388829810023384,1.3388829810023384,False,False,False
4,3,0.36468311988903657,1.055510916963661,2.5783054791753357,0.48415425741976537,0.7636005590741868,0.7636005590741868,False,False,False
5,3,0.7292769297046204,0.9782075660919242,2.3367354157419062,0.7685207286138486,1.4825959457776456,1.4825959457776456,False,False,False
6,3,0.430308160607048,0.9276310580488466,2.691530054290035,0.6967356483506848,0.8086412644357814,0.8086412644357814,False,False,False
7,3,0.6307010873921894,0.9169155256260897,2.4554122266702674,0.5694716270922148,1.236008141618542,1.236008141618542,False,False,False
8,3,0.5770968867085551,0.797214664267406,2.5031290467794083,0.25295522247875335,1.1952862963928177,1.1952862963928177,False,False,False
9,3,0.6331693949790229,1.0952549118395785,2.5661217995844194,0.421679321054746,1.2765190925993781,1.2765190925993781,False,False,False
10,3,0.5878499239956398,1.0196860647658625,2.523715432878576,0.4686458041039848,1.2071531726740186,1.2071531726740186,False,False,False
11,3,0.6968295727976854,1.1424539901107997,2.2623631771208847,0.5479596484473188,1.4999476800492462,1.4999476800492462,False,False,False
12,3,0.7120739961314344,1.231382519275302,2.5030488961811557,0.5781188517606479,1.4205789044512134,1.4205789044512134,False,False,False
13,3,0.8287595152326297,0.8311834534905815,2.1942567351397613,0.6315988698070139,1.6623527228493196,1.6623527228493196,False,False,False
14,3,0.7204635652492382,0.7102713943402192,2.754451283769034,0.5926868051129683,1.3857341621076837,1.3857341621076837,False,False,False
15,3,0.631807731996037,0.7907172569502815,2.3889877411874965,0.4275931422477772,1.259444666326382,1.259444666326382,False,False,False
16,3,0.5632942689461051,0.8971402879931333,2.3998673086121043,0.7565910866195136,1.1449218824580893,1.1449218824580893,False,False,False
