t,gear_choice,motor_pwm,accel_ramp_s,pid_p,pid_d,cpg_freq_hz,cpg_amp,cpg_phase_deg,speed_mps,penalised_fitness,overcurrent,overtemp,joint_limit,timeout,algo,note
0,1,0.854678,0.609897,3.11783,0.536588,1.775179,0.792386,95.617589,0.939639,0.939639,False,False,False,False,CMA-ES,
1,1,0.655213,1.035905,1.307309,0.544788,1.576516,0.14505,77.749287,0.591737,0.591737,False,False,False,False,CMA-ES,
2,1,0.609807,0.865774,4.067609,0.143378,1.623386,0.694181,154.260869,0.501269,0.501269,False,False,False,False,CMA-ES,
3,1,0.674675,0.754733,1.999102,0.586075,2.352848,0.640134,108.534533,0.629541,0.629541,False,False,False,False,CMA-ES,
4,1,0.679268,0.456611,0.303535,0.470845,1.848278,0.268505,149.013324,0.501779,0.501779,False,False,False,False,CMA-ES,
5,1,0.728148,1.520819,1.903958,0.446562,1.948961,0.429316,179.37248,0.8157,0.8157,False,False,False,False,CMA-ES,
6,1,0.756895,1.238193,4.182739,0.54418,2.340735,0.862932,168.431406,0.34466,0.34466,False,False,False,False,CMA-ES,
7,1,0.639055,0.951921,2.279867,0.707196,1.830582,0.274131,171.80225,0.596965,0.596965,False,False,False,False,CMA-ES,
8,1,0.667879,0.755675,0.99604,0.611497,2.242131,0.391668,9.872165,0.570314,0.570314,False,False,False,False,CMA-ES,
9,1,0.668725,1.581948,2.512714,0.547315,1.452402,0.659803,188.295516,0.884961,0.884961,False,False,False,False,CMA-ES,
10,1,0.3,1.656655,2.058027,0.486147,1.536156,0.416173,164.344966,0.0,-2.0,False,False,False,True,CMA-ES,
11,1,0.547721,1.467384,2.36071,0.471064,1.425964,0.43849,52.443126,0.788747,0.788747,False,False,False,False,CMA-ES,
12,1,0.3,2.0,0.0,0.0,3.0,0.0,360.0,0.0,-2.0,False,False,False,True,CMA-ES,
13,1,0.3,0.0,0.0,0.0,3.0,0.0,360.0,0.0,-2.0,False,False,False,True,CMA-ES,
14,1,0.3,2.0,0.0,1.0,3.0,0.0,0.0,0.0,-2.0,False,False,False,True,CMA-ES,
15,1,0.3,2.0,0.0,1.0,3.0,0.0,0.0,0.0,-2.0,False,False,False,True,CMA-ES,
16,1,0.3,2.0,5.0,1.0,3.0,1.0,360.0,0.0,-2.0,False,False,False,True,CMA-ES,
17,1,1.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,-2.0,True,True,False,False,CMA-ES,
18,1,1.0,0.0,5.0,1.0,3.0,0.0,360.0,0.0,-2.0,True,True,True,False,CMA-ES,
19,1,1.0,2.0,5.0,1.0,0.5,0.0,360.0,0.0,-2.0,False,True,False,False,CMA-ES,
20,1,0.65,1.0,2.5,0.5,1.75,0.5,180.0,0.865479,0.865479,False,False,False,False,safe-bo-seed,
21,1,0.669768,1.036618,2.807884,0.48188,1.834445,0.483826,133.881999,0.823689,0.823689,False,False,False,False,safe-bo-seed,
22,1,0.671197,1.001812,2.822906,0.428103,1.781276,0.555353,197.001569,0.840701,0.840701,False,False,False,False,safe-bo-seed,
23,1,0.7422,0.966469,2.090076,0.39938,1.520192,0.487759,197.385716,1.013186,1.013186,False,False,False,False,safe-bo,
